GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Labtools,edu.eci.cvds.Labtools.dto,BookingDTO,31,0,0,0,13,0,9,0,9,0
Labtools,edu.eci.cvds.Labtools.dto,UserRegisterDTO,0,17,0,0,0,7,0,5,0,5
Labtools,edu.eci.cvds.Labtools.dto,CreateBookingDTO,24,0,0,0,10,0,7,0,7,0
Labtools,edu.eci.cvds.Labtools.dto,UserDTO,3,37,3,3,1,9,3,6,0,6
Labtools,edu.eci.cvds.Labtools.model,Lab,17,0,0,0,7,0,5,0,5,0
Labtools,edu.eci.cvds.Labtools.model,Booking,31,0,0,0,13,0,9,0,9,0
Labtools,edu.eci.cvds.Labtools.model,Admin,0,6,0,0,0,3,0,1,0,1
Labtools,edu.eci.cvds.Labtools.model,BasicUser,0,6,0,0,0,3,0,1,0,1
Labtools,edu.eci.cvds.Labtools.model,User,33,33,0,0,15,13,11,8,11,8
Labtools,edu.eci.cvds.Labtools.controller,BookingController,6,6,0,0,3,3,3,1,3,1
Labtools,edu.eci.cvds.Labtools.controller,QueryController,2,6,0,0,1,3,1,1,1,1
Labtools,edu.eci.cvds.Labtools.controller,LoginController,0,19,0,0,0,6,0,3,0,3
Labtools,edu.eci.cvds.Labtools.service,BasicEmailVerificationService,0,35,0,6,0,9,0,5,0,2
Labtools,edu.eci.cvds.Labtools.service,BasicBookingService,6,3,0,0,3,1,3,1,3,1
Labtools,edu.eci.cvds.Labtools.service,BasicQueryService,2,3,0,0,1,1,1,1,1,1
Labtools,edu.eci.cvds.Labtools.service,BasicLogService,5,43,1,3,1,10,1,3,0,2
Labtools,edu.eci.cvds.Labtools.service,BasicHashService,0,13,0,0,0,3,0,3,0,3
Labtools,edu.eci.cvds.Labtools,ExceptionController,9,13,0,0,2,3,1,3,1,3
Labtools,edu.eci.cvds.Labtools,LabToolsException,0,15,0,0,0,7,0,2,0,2
Labtools,edu.eci.cvds.Labtools,LabtoolsApplication,5,3,0,0,2,1,1,1,1,1
